sentiment,title,body
negative,Apple Slicer,Didn't work on solid apples like granney smith. Apples must also be symetrical and not too firmLeifheit Pro Line Stainless Steel Apple Slicer/Corer
negative,No way I am getting fooled again,The title speaks for itself. I gonna keep watching my DVDs til the extended blu-rays come out
positive,A Brief and Interesting Primer,"The title of Stephen Haycox' book is slightly misleading, as the first half of the work details imperial Russia's ""discovery,"" exploration and exploitation of Alaska before selling the massive territory to America in 1867 for $7.2 million (about two cents an acre). The book is a brief and interesting primer on Alaskan history from the middle of the 18th century to the dawn of the 21st. Haycox concentrates on sociocultural conflicts between natives and incomers; interminable discord between environmentalists and industrialists; and since statehood in 1959, strife between competing native, state, and federal sovereignty claims over land and resources. Particularly in the first half of the book, Haycox occasionally obsesses with minutia better left to a lengthier examination. Nonetheless, this is a good and well-written introduction to Alaskan history, including an ample bibliography for readers interested in learning more about America's ""Last Frontier."""
negative,A failure to cash in,"After remarkable performances by some real actors and a compelling story line in the original ""Firestarter,"" this effort to use it as a kickoff for a sequel flops. Hollywood never learns."
negative,Long and Boring,"Margaret George has painted flat and unrealistic characters with no flaws. She would have us believe Cleopatra and Caesar were wise and benevolent rulers without any emotions. Nineteen year old Cleopatra, too often, speaks in the voice of a 21st century, thirty year old woman. It seems George knows her history however, she papers over her characters' documented bad behavior with made-up excuses and sometimes she ignores historical facts altogether.This book is for people looking for lush and extravagant romance novels with gilded ships, jewel encrusted furniture and silk robes. For those who like good historical fiction, look elsewhere."
negative,Beware,"Don't choose T-Mobile. I live in Sacramento Ca. I had no coverage in my home. I could never even finish the Blackberry set-up. I also traveled in Minnesota, When I got off the plane at Minneapolis International airport (a major airline hub)I had no coverage there either. I had to use a land line! I used a total of 16 mins. I cancelled within the trial period and was still charged $51.00. Save your money and go with one of the major carriers. I will wait for the i phone."
positive,Not Bad At All,I think this games is really good the only thing I think would be cool would be to add street cars like old school muscle cars other than thats its the best drag racing game I've ever played tunning can be tough but once you find the right set ups its awesome I would defiently recommend it plus its only $15
negative,Their worst,"The Scorpions are my favorite band but I even thought this CD s*cked. It seems like the scorpions might have permanantly lost their sting since Crazy World, cuz Face the heat s*cked too.Its sad to see a great (and my favorite) band sink themselves to this level.If you have never heard the Scorpions, hearing this will make you never want to hear their best work"
positive,"sensitive, accurate movement.","I love mine. It's very accurate for movement and works well on different surfaces.Better even than the Microsoft wheel mouse, personally.these are the downsides: if you bounce it , the switches trigger and the whole thing should be larger. I will definitely buy another one of these."
negative,Fizzer,"Why did I buy it? Looked good, sounded good. Lived up to it's promise? Too many group shots of chatty singles in salubrious discussion. Would have been nice to have seen more shots of the food. In the end, the recipies themselves proved to be a little more of the same. Unimaginative, hardly unique."
negative,You call this a movie????,"The first Batman movie has got to be one of the most cheesiest heroic movies of all times. I've watched this film over and over and over again, and it still doesn't get to me. It's full of too much romance and way too much violence. I wasn't too thrilled with the pick of characters for this film. Jack Nicholson did an okay job as ""The Joker"", but again here's another movie where Michael Keaton is playing himself. He never takes his Batman job seriously. And I can't stand Kim Basinger in this film! Her wardrobe is God-awful!! When you're on a date, at least comb your hair and put on a decent dress than something handed from a second-hand store. And I can't stand her screaming in about every other horror scene. This Batman movie was a joke to begin with. The other two Batman movies were okay, despite the last one was without Michael Keaton.I was hoping for an action-packed movie when it first came out, unfortunately, I was very disappointed."
positive,The Porcupine edition is NOT ABRIDGED!,"The other review on this page is incorrect! It's a cut-and-paste job from a review of the Great Minds edition, which is abridged. The porcupine edition is NOT ABRIDGED. If you are reading Marshall's principles for the first time, or if you want a copy for reference, this is the edition you want to buy. I don't know who is responsible for the cutting-and-pasting, but this error should be corrected right away."
positive,Good book,"I like the new heroine and hope to see more of her. Although I have faithfully read all the Plum books, I was getting rather jaded with a hamster that never dies and cars that blow up on a regular basis. Alex is a pleasant departure and Ms. Evanovich has kept the sense of humor going. The new characters surrounding Alex are a hoot and I hope that if Alex returns, they do also. A pleasant mixture of wackiness and fun."
positive,Surprise,This album was quite surprise for me. I thought Seru Giran was the only good rock band on Argentina scene. This blokes are good musicians with good vocals and nice songs. Keep going.
positive,Weber Gold,"Have always been a Weber fan, but, due to financial circumstances, had to opt for the charcoal portable run about, offbrand seen in the big box stores. In the interum, also opted for a propane models from various manufacturers. Not a fan of propane. Give me charcoal.Went back to Weber gold this year for summer barbque season and am so relieved to be again using a Weber.A couple things that other reviewers have also noted:Lid handle needs to move back to the old wood type or a type that does not heat up. Would like to order if Weber makes one available.The lid tends to move off the bowl when moving to another location for BBQ'ing. Larger lip would eliminate this issue. Did'nt have this with my older models, pre 1990. Don't know when this change was made."
negative,Not the soundtrack,"I ordered this and sent it back. If you're looking for a soundtrack of ""Belizaire the Cajun,"" in particular the opening and closing song, this doesn't have it. Sure, it has the song but not the performance and not the version you heard and enjoyed in the film. The film version was passionate and rhythmically complex, syncopated. The CD version is shorter, quieter, rhythmically feeble and about as passionate as a lullaby for patients in a dyspeptic ward. I got my money back for misrepresentation."
positive,Great Fence,"Easy to set up. I have the Jessem table and the holes are pre set. However, I think it would not take that much more with another brand table. The fence is really solid and heavy. Fit and finish are out- standing. Vacuum port works fine. Zeros out perfectly. Easy to calibrate. A high end tool.Is it better than a lower priced fence? Fence setting is way above other fences. But I have made some beautiful stuff with my old Rockler fence and table. Those are moderately priced and quite good. You are paying for quality when you step up another hundred bucks. If I was just starting out with router tables and fences, I'd like to think I would pass by the Rockler and move straight to the Jessem. For the long haul, that's the best choice. But maybe money considerations would pull me to the Rockler. Both are good products, but in this case, you really do get what you pay for.Will"
negative,The first book I've thrown in the trash in years,"What a waste of time. I so long for the days of 'real men' conservatives like William F. Buckley, who I may not have always agreed with, but admired for his intellectual grasp of situations. Where is a decent voice from the right? Someone who can actually think? Alas, will we be stuck with [guys] like this forever?"
positive,Helps me keep my game sharp,"I much prefer to play with friends, but the Pro Bridge 610 is a pretty good way to play and getter better atthe game. The button layout takes some getting used to, but the screen is big, and has lighting."
positive,very good short no nonsense book,Compact size. Carefully put together information. Solid basics given without too many words but understandable. Pictures are very helpfull and exceptional quality. This is cheap and good book for novice GS owner. I favor this book out of 4 i bought before.
negative,"MORE INFORMATION, PLEASE",Can't buy something when I have no idea what footage this includes. Please add a description and I will consider buying this and other National Archives DVD's.
negative,Terrible product,"This is a terrible radio. I wanted it for work just to listen to some sports talk radio or music in the morning. Unfortunately, it basically does not pick up any AM stations. And the FM stations don't come in much better. The tuner is terrible too, as it is so sensitive you have trouble getting it to the station you want (if that station will even come in on it). All in all, i'm just warning you not to buy this radio."
positive,Filter,"The product works great for Small aquariums. I used mine for my bettas, and my dwarf puffer fish. The current is strong, but it can be maneuvered to be less likely to blow your fish around. I rate this product 4 stars, because the filter can intake a lot of water and air, and leaves the aquarium with a bubbly curtain on the glass,although it works great. It could use some better filter cartridges. this one is a simple sponge. Overall, I would reccommend this for someone using it on a 5 gallon tank or less."
negative,Tan solo MARAVILLOSO !!!!,"Sr.Benitez sus Libros me han abierto a un mundo nuevo, donde me hace sentir sentimientos encontrados que es la religión clasica que existe de hace varios años y lo nuevo que de repente hace dudar si es verdad o manetira. Tan solo el tiempo o la circunstancias de la vida nos iran desengañando o suminirnos en nuestra propia decepción. Gracias y espero algún día conocerlo aunque sea por la via del E-mail. Saludos, Joe W. Retamal A."
negative,Don't buy this cartridge!,"And here are two good reasons why I titled this review the way I did:1. The cartridge leaked in the bag.2. The cartridge didn't even fit my Epson Photo EX (though the compatibility number is correct).While their b&w cartridge works fine, I'd go with Epson original color cartridge."
positive,A great complement to Janet Esposito's book,"This is a great CD on its own or as a complement to Janet's book. My favorite thing about the CD is that you can listen to selected pieces of it for a quick reinforcer if you are short on time, or you can listen to the entire CD when you have the luxury of time to treat yourself to a relaxing and centering experience. The CD is great for my head, my heart, my spirit, and my body. I will use it often and recommend it highly to others."
negative,did not work,This would not install on my new computer with windows xp. I tried and tried finally gave up and purchased Nero and it works great so no more Roxy Products for me.
negative,roller skating rink organ !,"Slim was one of the best blues pianists ever. And this album has some fine piano blues on it too.But almost every other song has Slim playing a roller skating rink sounding organ which grates on my nerves. If you like blues organ, then fine, but if you're looking for some of Slim's classic piano blues ,this might not be the album for you to purchase."
positive,Lots to think about,"The coolest thing about this devotional book is that each month is themed on a different aspect of God. For example, January is God's Character; June is Persecution and December is Christmas Around the World. The reason I like this is because some devotional books feel like they skip around and are hit-and-miss on topics. I love that this one devotes more than three or four pages to a topic.Even the introduction, by Beth Moore, is impressive and really makes you think about missions. She also wrote an intro into each month. The devotions themselves are written by those who are out doing the work of God. It's interesting to see what they write and to try to read it in the context of what they deal with on a daily basis.I think this would be a good gift for a missions teacher, a student studying to be a missionary or even a church mission leader.I received a copy of the book in exchange for an honest review from Book Sneeze."
negative,USB vaccum Cleaner/Hoover for Laptop PC Keyboard-Black,"This item don't met my expectations,because don't clean well, not a new package is used before, I don't recommend this item."
negative,Wheel Of Time,"Jordan had the start of what could have been an amazing series... unfortunately, he refuses to end it, and is really just milking the cash cow now, on his 9th book. Ironically, the Wheel Of Time Series is much like the Wheel Of Time In The Book, repetitive and never-ending."
positive,Perfect,"Perfect product. I have 5 of them with out a single complaint. If I had to complain I would say the plastic anchors are a little sub par, but I used my own anyway. I also installed small rubber door stops behind each guitar because they are hanging in a hall way where they could get bumped into the wall. Under normal circumstances the guitar hangs plenty far enough from the wall (even a full size acoustic). Click on my name above for a picture of guitars hanging, shouldn't the manufacturer show you that?"
positive,5 Stars 4 Sure,"Not Big enough for Table Saws as pictured but it covers every thing else..... Jig saws Belt sander's my 18 1/2 Planer etc. Magnet's keep cover in place while I blow down my shop and cover keeps most dust, dirt and dampness of my machine tops......... worth EVERY Penny! Buy several!"
negative,If you like arm-wrestling . . .,"Makes a nice smooth shot of espresso - but at the price of a sweaty arm-wrestling match combined with a chemistry lab experiment. You have to buy a digital thermometer, get the water temperature just right (not an easy feat, regardless of how you go about it), and then wrestle the plunger down, which takes closer to two minutes than the 20 seconds in the instruction guide, the darn rubber gasket is so tight. Which means the espresso is more bitter than it should be, due to the water sitting in it so long while you wreck your arm trying to get the plunger to go down without knocking the coffee cup over. I'm honestly surprised by all the good reviews here - it might be cheap, and if you can get it work right the coffee is good, but this is not an easy unit to use."
positive,One of the better self-defense systems.,"I am former military and I have a martial arts background. True, Krav Maga is a basic self-defense system but if you want to learn to defend yourself without spending years at it, this is one of my favorite systems. No forms, no belts and no kung fu silliness that could get you killed on the street.The videos show the techniques in slow motion and at street speed and they also have a solo training exercise at the end of each technique.This won't turn you into Bruce Lee but it is worth the money."
negative,Not a good buy!,"I purchased these in a size 5 for my daughter because a) they were less than some of the other stride rite shoes and b) they were adorable. Well, these were just unwearable and I even had them fitted and checked in the stride rite store. The velcro was always coming undone, the shoes always falling off plus they were very stiff so she had difficulty walking in them. In the end, we always had to take the shoes off for her to run around in until I finally conceded and bought a pair of the $42 katy (I belive) shoes which are what you would expect from a stride rite shoe."
negative,Didn't work well for me,"I followed directions, inserting the green bead with threads to the sides and it didn't work well. I'll be looking at another brand."
negative,Garbage,"I would have felt better if $20 would have blown away in the wind. At least someone would find it and it would have made their day.The fit? Horrible. They come with 4 differant sized plugs. The material reforms to shape too fast and does not allow for time to properly position. Once in, they want to work their way out.The sound. Like listening to music underwater. Mucky bass and no highs.I am very dissapointed with them and have thrown them away so I do not have to look at them to be reminded how I wasted good money. Time for me to step up and buy some decent phones. You get what you pay for."
positive,Awesome,"I thoroughly enjoyed this book. It reads very easily, and keeps the readers' interest. It really opens the reader's mind to what parents are capable of doing to their children. Walls has done well for herself, despite the extreme adversity she faced in this memoir."
positive,Not bad for the size and price,"Overall I am happy with these binoculars for the price and I am glad I paid a little extra to get the 10x over the 8x. They are a good set of binoculars if you want something small, compact and light. If you don't mind something a little heavier and bulkier (and paying a little more) I would get something even more powerful in hindsight. So far I have used them for bird watching out the back window and also at an airshow. They were great for the airshow because they were easy to carry on my belt without being a nuisance. I definitely enjoyed my time at the airshow and better knew what was happening on the ground because of them."
positive,A Daisy through Concrete,"On their 3rd album the Eels (pretty much a solo project for you know who), walk a fine balance between pop song perfection and sonic psunspots (that's an obscure reference to an album by another great rock band that makes very similiar music). The sharp songwriting on the title track and Grace Kelly Blues alternate with the loopy sounds from tunes like Flyswatter.A terrific album well worth owning and for anyone who gives a damn about great songwriting."
negative,Dumbed-down math as therapy for the masses,"This book contains some good writing and poor mathematics, quite aside from one's political point of view. The critical reviewers of the book are substantively correct. In terms of Ms. Cole's purpose and intended audience, well, what sort of ""success"" is dumbed-down math as therapy for the masses?"
positive,Excellent product I love it,it is really good for setting up target. there is one thing that this one gives different readings everytime.
positive,WOW!!!!!!!!!,"This CD is, well, WOW!! Enya rules and so does this CD. Her song Lothlorien is insrumental, and anyone who knows anything about Lord of the Rings'll know wehere that is inspired by! Her 6-minute song Smaonte is nice, too. No more words from me!"
negative,"Has a GIANT cord with GIANT hockey puck at the end. Not a ""unifying"" compatible mouse.","This ""cordless"" mouse has a gigantic cord, one end of which plugs into your USB port, the other end of which is attached to a hockey puck sized receiver. Other Logitech products use what they call a ""unifying"" receiver, which is this tiny little nub that plugs into your USB port and through which you can connect up to 5 different Logitech devices. This ""cordless"" mouse is NOT compatible with the unifying receiver, so if you have another ""unifying"" compatible product you will still need an extra USB port for this mouse. Want to use a trackball style mouse with a unifying receiver? They are rumored to exist, but I can't find hide nor hair of them on Logitech's website. There is NO trackball style mouse with a non-thumb controlled ball that is compatible with the unifying receiver. You are stuck with the giant cord and hockey puck for your ""cordless"" mouse."
positive,This is a must have.,I actually sat down and had a marathon watchibg this series as I wanted to get to the third season..What a fabulous fabulous show....so addictive you cannot wait to see what happens next.
negative,A waste of time and money,This book has no place in a serious students library or anywhere else. It is poorly laid out with no logical sequence or progression from one idea to the next. There is never any detailed explanation just a bunch of disjoint sentences that read like a Dr Seuss or some comic book. When I am stuck I never seem to get answers here. If you want to learn scheme I suggest skipping this one.
positive,Wish everyone would watch this video!,"This is a great DVD for the novice poker player! The DVD is professionally recorded and provides clear instruction on no limit hold 'em, and a few tricks of the game. Also provided is a chart with strategy, odds and positional advice. This DVD definitely helped my game and my wallet. I'd recommend it to anyone who is learning the game and wants to learn a good, conservative strategy."
negative,I think Miller farted this one out,"This is a disappointment. If you read the original , don't bother comparing it. Not that you should expect the same old thing since the original was a classic that cannot be repeated. This sequel seemed like a mere pretense of being a Dark Knight sequel. While reading it I got the feeling that Miller was just fooling arond and making up the story as he went along. Majority of the pages are filled of talking heads giving useless commentary about the world instead of dealing with the story. Borrow it from a friend or your library."
negative,Not much help,"Don't waste your money on this one. It was recommended by ""Rich Dad"" advisors, but doesn't tell you how to get going. And unless you live in or want to travel to one of the 29 ""lien states"" there's nothing in for you. The other states are not mentioned."
positive,Return of a Classic,Elements is one of the best introductions to statistical inference and econometrics ever published. I still refer to my copy 14 years after finishing my degree. Can't say that about any other textbook
negative,utter hypocrisy (as if we are surprised!),"The rabbi's pose is transparently hypocritical because Judaism's ""holiest"" book, the Talmud, teaches misogyny, the fundamental ""orthodox"" Judaic doctrine about women:""Though a woman be as a pitcher full of filth and her mouth be full of blood, yet all speed after her."" ---Talmud, Shabbat 152band also, ""...a man may do whatever he pleases with his wife at intercourse: Meat which comes from the abbatoir may be eaten salted, roasted, cooked or seethed; so with fish from the fishmonger.... A woman came before Rab and complained [of her husband's sodomy with her], ""Rabbi replied: 'Wherein does it differ from fish?"" ---Talmud, Nedarim 20b, Soncino edition, p.58"
positive,Wildly entertaining,"I bought this CD based on the reviews here, and I have not been disppointed. In fact, I'm in love with the songs! ""Tribute"" and ""Lee"" are awesome, and just TRY to get the gorgeously melodic ""Wonder Boy"" out of your head. I dare you! The rest of the album is simply silly, hard-rockin' fun. It will Rock Your Socks off! And the skits in between the songs will definitely make you laugh. ""Drive Thru"" is a crack up! Tenacious D is a delight!"
positive,BUY ME,"I think this is a must have for all drum 'n' bass lovers along with the album, 'Field of Action'. It starts off with a chilled beat before it kicks into something a little harder with a lot of pace. Suitable for playing in bedrooms!"
positive,Good in depth read on Rupert Murdoch,"Very interesting read. This biography goes into a lot of detail about Murdoch's first few decades in business - 50's to the end of the 80's.Very interesting insights into the man who created the most powerful media company in the world. This biography stands out compared to the others I have read, as the author has talked personally to a lot of people who dealt with Murdoch over the years.Jerome also has the benefit of writing this after having had a personal interview with Murdoch.The only downside is it was written at the end of the 80's, so it doesn't get to cover some of the most exciting times in the life of Murdoch.I'd thoroughly recommend this book to anyone who has an interest in Rupert Murdoch, or The News Corporation."
negative,unreadable,"I was looking forward to an imaginative and in-depth novel. Parts of this are almost intriguing, but they become lost in attempts at Biblical language. I quit before ending the novel because there was too much ""And now comes a donkey. And with the donkey comes so-and-so. And so-and-so might be the son of so-and-so else. And now into the room comes my father."" Not very exaggerated, either. This is how the language sounds, and how boring and irrelevant most of it is. She would have done better to just tell the tale in her own way and get on with it. I'm surprised this got published as is, but if you can weed through it for the ideas, you might find it worth your time? Notably intriguing was Mariamne cross-dressing to become John the Lesser, and Salome cross-dressing to become Simon Magus. Definite potential here."
positive,NY Fan...,"I was very excited when this cd came out.. I enjoy the range of different songs on there from the upbeat ""Hey Girl"" to the slow ""James"". I think this cd has been the best cd yet. I especially love the dvd.. Well mostly because I'm in it..Thanx guys for a great album."
positive,A little bent candy ain't nothing to cry over.,"First and foremost: My only gripe with this product is that no matter which seller you buy from, the storage they use leaves some of your airheads in a shape that is unrecognizable. Still candy, but still unrecognizable.However, I always get all 90 airheads and even numbers of all flavors, which I like. These are wonderful and, now that I think about it, can be used by a wise little entrepreneur if they so chose."
positive,Perfect Service,They give what they offer. I ordered a book and I got it the exact day they told me I would have it.
negative,"Violent, Racist, Boring","I know that is a weird combination, but the gore was over the top, Jews were depicted as depraved mobsters, and what plot that existed moved at a painfully slow pace. I was disappointed -- I'd heard this was a good ""sleeper"" movie. Suggest you skip this one!"
positive,Beautiful 5 Drawer Chest!,"I really like this 5-drawer chest, it looks beautiful once assembled and offers alot of storage. My only reason for not giving it a full five stars is it can be a bit difficult to assemble, the pieces can be a bit off (as in drill holes not quite in the right place, especially the drawers) but it all came together somehow and after many hours of assembly, I just love it. It is excellent for a small space, and even though I swore I would never put another one of these together, I like it so much I am considering adding more pieces at these great prices! Too bad Target doesn't offer a delivery and assembly service."
positive,It simply works well.,"If you are spending big bucks on your speakers you owe it to yourself to put these behind them.It made a very noticeable difference in the bass coming out of the 6"" woofers in my component system especially at higher volumes.I was turned into a believer."
positive,track listing,1. They re Either Too Young Or Too Old2. When They Ask About You3. The Wonder Of You4. Should I Tell You I Love You?5. My Heart Belongs To Daddy6. Waitin For The Train To Come In7. Honestly I Love You8. A Bushel And A Peck9. When I Dream (I Always Dream Of You)10. To Be Loved By You11. Are You Looking For A Sweetheart?12. Lonely13. Heartless Heart14. A Little Lie15. Take Everything But You16. Little Things Mean A Lot17. I Don t Think You Love Me Any More18. In The Chapel In The Moonlight19. (Don t Let The) Kiddygeddin20. I Want You All To Myself21. Forgive Me22. Come Spring23. Only Forever24. Go On With The Wedding25. True Love26. Will I Always Be Your Sweetheart?
negative,This toy is going on a one way trip back to the toy store!,"My 11 month old daughter received this from a family member for christmas. It was very time consuming to put together. Once assembeld my daughter tried to pull her self up and it tipped over. The ball would get stuck in the middle of the slide. Once pushed to the bottom they would only come out one hole. My daughter was very bored with this toy in seconds. If you want a toy that will keep your childs attention, pick up the Fisher Price Laugh and Learn Learning Home. It is more expensive and larger (much easier to put together) But it is well worth the money."
negative,Neat and Tidy,"A very precice and neatly written book (not as good as her latest books) and too clean. Not enough rise to the climax, and it needs more twists. I would recommend this book only for preteens with a lot of free time."
negative,cult of brain wash,"Watch out! there is cult of people whose sole mission seems to be to try and trick you into thinking this is a movie that has any value. The latest Scwarzenneger film has more content. Furthermore, it's likely more intellectual. If you want to watch your neighbor's naughty kids home video, go ask. You don't need to buy this tape they're hocking."
negative,"It works, thats all I can say.","The little black plastic piece that cools the motor is very cheap. If anything bumps this piece it will break. I broke it off and luckily the HVAC Megastore shipped me a new one, and sent the old one back to the manufacturer to replace it. When then blower starts up its not a quiet as I would have hoped. I am no expert but it would have been nice to have a gasket with it, mine is installed metal to metal, but the seal is decent."
positive,Perfect casual mouse,"Being a touchpad user for so long I decided to give the mouse another try. Using so many different mice in labs around school I knew I wanted something with good tracking. The laser tracking lives up to it's name. I haven't found a surface it won't track on. On top of that, this mouse comes with a list of features. With the software you can program the buttons to perform a wide range of tasks. From internet browsing to window management. Pretty much every feature is customizable. I haven't found a better buy yet. This is a great product."
negative,Byzantium,"This book possibly expresses the author's thoughts, even understanding, with some accuracy. But to someone who is not already familiar with the point-of-view being expressed it is totally useless. It is easy enough to claim some sort of affiliation with Ramana Maharshi, but presenting the view of reality that Ramana enjoyed, described and promoted is a different matter altogether. This writer seems to relish riddle mongering. He assumes an air of authority, of greatly superior wisdom and insight, but anyone accustomed to reading the prose of genuine essayists, like George Orwell, for example, will find this writing similar to an act of sexual intercourse where one of the participants is entirely imaginary."
positive,Be Thankful,"In Angela's Ashes, Frank McCourt touched me by his use of simple, straight forward use of vocabulary. In his writing, it was easy to tell that he wrote his true feelling while growing up, holding back nothing. When I read the book, it was like I was being told the story from a little, poor Irish boy, not an older man. McCourt's ability to do this created much more of an impact on the reader. It is amazing that he could remember such detail from his childhood. I started to feel like Frank McCourt, poor, hungry, and abused. At the same time I told myself never to complain about hunger or the need of clothes or shelter again. Not many books can do that for me, but this one did."
negative,major let down,i bought this game and i was so disappointed. It is good but i finished it in two hours. there is no save function and you cannot save during the middle of a game. there are 6 levels and you have to collect crystals and it is impossible. it has good graphics but it is very easy to finish
positive,Bought as a gift,I'd never heard of this book. It was purchased as a gift. The person I gave it to really enjoyed it.
negative,Please don't buy this book,"Certain aspects of life in 1277 England have to be taken into consideration. The nature of the genre of explicit romance is familiar enough, and one does expect more or less explicit sex scenes. Having said all that, Coulter did go to the extreme. I felt sickened after reading the book. As mentioned in the previous reviews, there are rape scenes, scenes of humiliation, a ""bad"" character (Marjorie) that gets one of the ""good"" guys and a castle, as well as the kid, for keeps. But the problem is not the rape scenes alone. Other books that contain rape scenes (for example Whitney My Love) treat the rape in a way that encourages the reader to put it in context - but not this book. By far one of the worst romance novels I have read. Finishing it, I was glad that I read other books by the same author (like The Wild Baron) that are far better."
positive,perfect fit seals very well.,"Got this in mid summer, and my 4.5 yrs daughter adjusted to it in the first try. it is well sealed from water, and does not leave face marks if you don't do it too tight. the side adjuster is comfortable to use for loosening it. the only thing is hair sometimes gets in it and you need to take it off gently. if you have a long haired child , you'll need to make a pony tail in a height that will fit in between the two straps, and that will prevent the straps from slipping down and back.these are very good swimming goggles"
